source_path,source_filename,extension,byte_count,sha256,detected_mime,width,height,aspect_ratio,decode_result,exif_metadata_json,source_created_at,source_modified_at,classification,suggested_shot_code,rank,confidence,visual_rationale,import_decision,assignment_decision,existing_or_reused_asset_id
C:\Users\razer\Documents\transfiguration\grok-4c74fbe4-2ae3-4330-9f93-f9089edc20c9.jpg,grok-4c74fbe4-2ae3-4330-9f93-f9089edc20c9.jpg,.jpg,355415,ecc1a93784addd05810fab8519eaf0bb87e4416b20c3fb5baecbccc307ad0cc3,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.070067+00:00,alternate candidate for a shot,S05C,2,0.81,Alternate Elijah portrait in soft neutral light.,import as draft starting_image,alternate for S05C; leave unassigned,4ad57b77-4528-49a3-bdd7-9f29f4943038
C:\Users\razer\Documents\transfiguration\grok-5be4f39f-c714-4104-9054-63885add3ce9.jpg,grok-5be4f39f-c714-4104-9054-63885add3ce9.jpg,.jpg,337321,f12332505a5faceca553934c248ec8294bf4c1399f53e254c84b08601f5ac2d5,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.157698+00:00,alternate candidate for a shot,S06B,2,0.86,Strong John wonder reaction alternate for the second editorial close-up.,import as draft starting_image,alternate for S06B; leave unassigned,58822c5c-45ca-4124-8e54-2a9afa6f829a
C:\Users\razer\Documents\transfiguration\grok-5e2f5e95-281c-409e-99b3-3f66de2a5a8d.jpg,grok-5e2f5e95-281c-409e-99b3-3f66de2a5a8d.jpg,.jpg,527035,946ff32f033923939b5cf4be3f108231fbf769852599902287eb704bed95bce5,image/jpeg,1728,1152,1.5000,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.237886+00:00,clean single-shot starting-image candidate,S05D,1,0.92,Jesus and Elijah converse with Moses at frame edge in warm summit light.,import as draft starting_image,select for S05D,bd262808-f5e9-404d-8315-6ef1941c3e46
C:\Users\razer\Documents\transfiguration\grok-5eb8d776-69dd-4b23-85a6-667d26cfed40.jpg,grok-5eb8d776-69dd-4b23-85a6-667d26cfed40.jpg,.jpg,355936,94ad389c9a67537b1a117206530def991308cc8e7c72339aa224df9e3f25817f,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.978066+00:00,alternate candidate for a shot,S05C,2,0.80,Alternate Elijah identity portrait.,import as draft starting_image,alternate for S05C; leave unassigned,934f491f-d540-4981-95bd-5964e7e9b36b
C:\Users\razer\Documents\transfiguration\grok-5ebe55bb-1e0f-4eb1-9ce6-98f7ceb18b17.jpg,grok-5ebe55bb-1e0f-4eb1-9ce6-98f7ceb18b17.jpg,.jpg,497014,3063f99f83f313008bf8d2ea3e8944edf02d0131ffc095a24a8f688a8f13991a,image/jpeg,1728,1152,1.5000,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.943784+00:00,clean single-shot starting-image candidate,S06C,1,0.95,Reverse wide places all three disciples foreground and the grounded holy trio beyond.,import as draft starting_image,select for S06C,0a5fa950-3623-42fd-b89b-1d49c0f9c9ca
C:\Users\razer\Documents\transfiguration\grok-6c491b78-8976-4288-840e-8ffb42a01034.jpg,grok-6c491b78-8976-4288-840e-8ffb42a01034.jpg,.jpg,338411,00d930fa706503e1b2c38e2ed0b7abe54d5451de42610121053ed0eed611a99f,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.194400+00:00,alternate candidate for a shot,S02C,2,0.80,Jesus prayer alternate; frontal palms are less exact than the inward close-up.,import as draft starting_image,alternate for S02C; leave unassigned,5e36e315-3967-4be7-bd90-1a099b452156
C:\Users\razer\Documents\transfiguration\grok-6c987f99-4af0-420f-9278-981b61ae005b.jpg,grok-6c987f99-4af0-420f-9278-981b61ae005b.jpg,.jpg,409198,5b271b2ee0948f269d936fd19e658cd2c0e1d4d9817911795b0ca8d25934cbed,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.769113+00:00,clean single-shot starting-image candidate,S08D,1,0.89,At natural dawn the three disciples look up toward Jesus alone on the summit.,import as draft starting_image,select for S08D,b4e35401-775e-4e71-849c-125923bef8e2
C:\Users\razer\Documents\transfiguration\grok-6f7f5607-cc48-4b60-ad0f-fd80c5d370d8.jpg,grok-6f7f5607-cc48-4b60-ad0f-fd80c5d370d8.jpg,.jpg,335381,a9fcfe7811cb87414a2b02140431f1b6a9f7d048846ad611434d0765ca45da7e,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.812038+00:00,alternate candidate for a shot,S06A,2,0.80,Peter reaction alternate without the required raised hand.,import as draft starting_image,alternate for S06A; leave unassigned,6a59ad8c-d755-4673-ad6c-eaf289593815
C:\Users\razer\Documents\transfiguration\grok-6f99d949-117a-436d-bc84-fe74bc9f26e8.jpg,grok-6f99d949-117a-436d-bc84-fe74bc9f26e8.jpg,.jpg,384067,671336b4de0df68691774c6312cf5f6e8f653f88579ea2abe3eaac58a9b4bfcb,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.752034+00:00,clean single-shot starting-image candidate,S08A,1,0.96,Jesus stands alone in ordinary dawn light while all three disciples remain face-down.,import as draft starting_image,select for S08A,534dfd6e-dae1-4d4c-bd3f-10d35821839b
C:\Users\razer\Documents\transfiguration\grok-07b39775-9649-46dc-902f-f7383847f952.jpg,grok-07b39775-9649-46dc-902f-f7383847f952.jpg,.jpg,391357,85ed9235544b57bb6cb49e9b99a36cc6502ea1afbbde0a3e6a017a8a78740c82,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.888744+00:00,alternate candidate for a shot,S06B,2,0.76,Disciple reaction alternate; costume/identity is less certain.,import as draft starting_image,alternate for S06B; leave unassigned,9f57a6b8-e132-4a66-a86d-7d24f56dadf0
C:\Users\razer\Documents\transfiguration\grok-7bf85ad9-bf5a-4bc9-8d65-9aa7f65f545d.jpg,grok-7bf85ad9-bf5a-4bc9-8d65-9aa7f65f545d.jpg,.jpg,452911,b0555bfc830a97b54759003e65ed3cdf4283eeed493d737f1223dd0aab91d1d5,image/jpeg,1872,1056,1.7727,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.704581+00:00,clean single-shot starting-image candidate,S06A,1,0.96,"Peter raises one hand in sincere, overwhelmed speech.",import as draft starting_image,select for S06A,686d12bb-e137-4338-b803-5453deda0fc4
C:\Users\razer\Documents\transfiguration\grok-7d984de4-9bca-4f16-bbd7-0ff91bd44d4c.jpg,grok-7d984de4-9bca-4f16-bbd7-0ff91bd44d4c.jpg,.jpg,355159,3bc2e57dc0cff729ffd0ace3ae47ef68d8bc473c29629c964966e9a16f5029c6,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.066988+00:00,alternate candidate for a shot,S06B,2,0.79,Young disciple reaction alternate.,import as draft starting_image,alternate for S06B; leave unassigned,ea23af8e-db64-426c-a6d9-e83151866cfe
C:\Users\razer\Documents\transfiguration\grok-7ef8857a-33bc-4f33-b287-23ee5a60c5e5.jpg,grok-7ef8857a-33bc-4f33-b287-23ee5a60c5e5.jpg,.jpg,374123,17d5dd73a6e9d712d4c090178322c85a20ea3ea86f56ec2c3a20a65a582832b4,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.837748+00:00,alternate candidate for a shot,S06A,2,0.86,Peter speech alternate without a visible gesture.,import as draft starting_image,alternate for S06A; leave unassigned,41bf6b54-8877-4f9a-923d-ce971e469109
C:\Users\razer\Documents\transfiguration\grok-8b945d0d-4edc-48d2-bfb6-f8de47ef9e06.png,grok-8b945d0d-4edc-48d2-bfb6-f8de47ef9e06.png,.png,6904632,49107628dbfa37716963475533476cd442cd4cf3398daf42ad3137eaec27910b,image/png,3344,1882,1.7768,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.470876+00:00,art-direction reference,S06A,,1.00,Known existing non-starting reference verified by exact SHA and semantic kind.,reuse existing non-starting reference,excluded from shot-start assignment,d87b1690-d379-471f-b691-70e6b6b4fbf8
C:\Users\razer\Documents\transfiguration\grok-8fd43168-71b0-41e4-b5c0-604c5bbba0d9.jpg,grok-8fd43168-71b0-41e4-b5c0-604c5bbba0d9.jpg,.jpg,374710,c909a2ccd33a7cf8d98b797d7ff70c573a6230fd42fc6edfd98102f112916d63,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.092483+00:00,clean single-shot starting-image candidate,S06B,1,0.86,Serious close reaction provides the opening James angle for the alternating disciple shot.,import as draft starting_image,select for S06B,1ccc7206-135a-49ae-9688-daccd7d465dd
C:\Users\razer\Documents\transfiguration\grok-8ff89ed4-1d10-4ec0-a2ab-41635205b626.jpg,grok-8ff89ed4-1d10-4ec0-a2ab-41635205b626.jpg,.jpg,331412,483ff2074afa787febc3e6c1a9aa6070a06b8b2ff3bc3e0330ffc7c5df2b5ae7,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.990938+00:00,clean single-shot starting-image candidate,S03B,1,0.84,Warm natural light subtly enters Jesus’ three-quarter face without supernatural eye effects.,import as draft starting_image,select for S03B,16951860-ceb1-4207-9b77-880d6a626b98
C:\Users\razer\Documents\transfiguration\grok-9ade94cd-c9b3-4446-8e97-a50aea073af4.jpg,grok-9ade94cd-c9b3-4446-8e97-a50aea073af4.jpg,.jpg,375463,431060458ed5df87b2f30f0a4c2a1311e95fe3e2f124639bde3a9eec720e1c21,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.032230+00:00,alternate candidate for a shot,S05C,2,0.81,Elijah alternate with neutral direct eyeline.,import as draft starting_image,alternate for S05C; leave unassigned,8748c0bb-bb3d-4011-9792-2fe5f85830bc
C:\Users\razer\Documents\transfiguration\grok-20d0c127-764a-4eeb-a4d8-8ef40ffd80bc.jpg,grok-20d0c127-764a-4eeb-a4d8-8ef40ffd80bc.jpg,.jpg,358538,c32fa8281f822210c1d48e0d1cbcd80eca9435c8b6960f4e818a4635b64810c1,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.816184+00:00,clean single-shot starting-image candidate,S05B,1,0.91,Noble elderly Moses looks toward the revelation in reflected warm light.,import as draft starting_image,select for S05B,f596f573-cc84-4e67-8905-cf4d7876e38d
C:\Users\razer\Documents\transfiguration\grok-21cd5d00-d19e-4a7b-9674-35033b83dbf5.jpg,grok-21cd5d00-d19e-4a7b-9674-35033b83dbf5.jpg,.jpg,401044,f0bb0f916f2d1180a56a1779f686c31e4747b150b1b82f5e0229fcdd43682063,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.895413+00:00,clean single-shot starting-image candidate,S04E,1,0.93,Wide grounded summit master shows the disciples shielding their eyes from Jesus’ glory.,import as draft starting_image,select for S04E,498419f6-d30d-4f41-b324-7844ecfba8b7
C:\Users\razer\Documents\transfiguration\grok-22a7718d-c5d1-4a1c-935c-ceceeb5860ea.jpg,grok-22a7718d-c5d1-4a1c-935c-ceceeb5860ea.jpg,.jpg,355734,a842230ed26692eccb25696a5f951fbffda3ac45febfb384a2ce8acd7670e2d4,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.077585+00:00,ambiguous,,,0.45,Young disciple prayer portrait does not cleanly match the required reaction coverage.,skip; ambiguous composition,leave unassigned,
C:\Users\razer\Documents\transfiguration\grok-38f7ec21-7029-4d47-a7e9-7c95e9df0c30.jpg,grok-38f7ec21-7029-4d47-a7e9-7c95e9df0c30.jpg,.jpg,364651,3ef1285098a1b52635b42a30b2285e6be4d96f82836e332119e709f4c1d60161,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.206010+00:00,alternate candidate for a shot,S06B,2,0.77,Young John reaction alternate.,import as draft starting_image,alternate for S06B; leave unassigned,ffdddf96-8644-4d71-bbc2-2a983e1fc8c5
C:\Users\razer\Documents\transfiguration\grok-40caff64-dc6d-486b-9d69-8e68192f182e.jpg,grok-40caff64-dc6d-486b-9d69-8e68192f182e.jpg,.jpg,405970,bae2590f54dc26328a0da405e1a69e6c83c1a4744e9acdb1c3a7480c5b73087d,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.194400+00:00,alternate candidate for a shot,S06B,2,0.86,James reaction alternate with serious expression.,import as draft starting_image,alternate for S06B; leave unassigned,f7951180-979e-499c-8598-55f4e58cb29b
C:\Users\razer\Documents\transfiguration\grok-053a76bc-f04e-46ef-b7c7-22b11909dc87.jpg,grok-053a76bc-f04e-46ef-b7c7-22b11909dc87.jpg,.jpg,397476,c4cb22aeef9b862d88e02f04f5284c6f0dbe14eb52a52260efda6ee92519158e,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.895413+00:00,character reference,,,0.98,Neutral full-body Jesus identity plate lacks mountain geography and shot action.,skip; do not create another character-reference row,excluded from shot-start assignment,
C:\Users\razer\Documents\transfiguration\grok-56da7230-10fb-4112-ad3e-84b76dd8e394.jpg,grok-56da7230-10fb-4112-ad3e-84b76dd8e394.jpg,.jpg,359203,e2eaf74e4605436b3746cc3f5e1d56d9b297dcfa8bc2f518ea95b9b98b404ceb,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.959659+00:00,alternate candidate for a shot,S01D,2,0.85,Peter close alternate with direct rather than upward eyeline.,import as draft starting_image,alternate for S01D; leave unassigned,6e5269d2-4865-4e55-becd-942b0d03ee2f
C:\Users\razer\Documents\transfiguration\grok-56e3d79c-00ff-41b8-afcc-5d70cd93a76a.jpg,grok-56e3d79c-00ff-41b8-afcc-5d70cd93a76a.jpg,.jpg,497679,4d13633eed93507c9c91437d1082d34394388c61cb2a052e2b9eb004a75d80dd,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.737865+00:00,clean single-shot starting-image candidate,S05A,1,0.92,Two human prophets resolve beside Jesus within dense luminous summit mist.,import as draft starting_image,select for S05A,f315708a-70c6-4d57-a664-aab256109a03
C:\Users\razer\Documents\transfiguration\grok-57ed3ff4-3d1e-4f52-a76e-e399310464a6.png,grok-57ed3ff4-3d1e-4f52-a76e-e399310464a6.png,.png,6842983,4151e6dd30c5b83ba3346bc2cf1db919db63135714f39cf1d99da782cf2f8b02,image/png,2244,2804,0.8003,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.397219+00:00,character reference,,,1.00,Known existing non-starting reference verified by exact SHA and semantic kind.,reuse existing non-starting reference,excluded from shot-start assignment,d7366d88-0701-494b-bb97-85c30a3fc42a
C:\Users\razer\Documents\transfiguration\grok-58a5dc2a-f007-48fe-b770-bc03035e6bba.jpg,grok-58a5dc2a-f007-48fe-b770-bc03035e6bba.jpg,.jpg,346978,bdb1dd44a5b1ca0c2118127f105cb54e5744601fdbd1d2c928d0798129d0b8ae,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.016369+00:00,alternate candidate for a shot,S01D,2,0.84,Peter close alternate with direct rather than upward eyeline.,import as draft starting_image,alternate for S01D; leave unassigned,9f3d9223-0aa1-4c00-9258-c7859c36cc9e
C:\Users\razer\Documents\transfiguration\grok-75e5e77f-5b02-4bf2-8375-13632a02ba84.jpg,grok-75e5e77f-5b02-4bf2-8375-13632a02ba84.jpg,.jpg,451291,aae707b565f931b01b99a1798c5978fad63d648124825274027e04ab605fa70a,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.737865+00:00,clean single-shot starting-image candidate,S07A,1,0.88,Dense bright cloud gathers around the grounded holy trio without a portal or lightning.,import as draft starting_image,select for S07A,dee3c1ad-1802-46d1-ba2d-6db5b710dc3a
C:\Users\razer\Documents\transfiguration\grok-76af0a63-e4c7-48da-9791-c51e979f6d4d.jpg,grok-76af0a63-e4c7-48da-9791-c51e979f6d4d.jpg,.jpg,390809,f43d90de0b156c44ae28d551de40f55310e1b97cff62700eb02e8869050b7ebd,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.927549+00:00,alternate candidate for a shot,S05B,2,0.83,Moses portrait alternate.,import as draft starting_image,alternate for S05B; leave unassigned,c2f61485-b87b-4afa-8439-8d7a04b80fb0
C:\Users\razer\Documents\transfiguration\grok-0095bd26-001b-46c2-8989-82905e946080.jpg,grok-0095bd26-001b-46c2-8989-82905e946080.jpg,.jpg,393821,1c70ad646a5ec946af2a2a231290a2281b015e2b4d3f44d866c7bea8a491f516,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.245607+00:00,alternate candidate for a shot,S06B,2,0.76,John reaction alternate.,import as draft starting_image,alternate for S06B; leave unassigned,ac10ae78-4b9a-49a0-91dd-0eeb11904a9b
C:\Users\razer\Documents\transfiguration\grok-173ad0e9-4b71-441a-9745-009471ad40ca.jpg,grok-173ad0e9-4b71-441a-9745-009471ad40ca.jpg,.jpg,419028,21206e58b207c6370c8a5b1f7fccdc816c39b41b5d0e4a350086f421eea7b810,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.050873+00:00,alternate candidate for a shot,S05D,2,0.88,Holy-trio alternate; tableau is less conversational than the selected frame.,import as draft starting_image,alternate for S05D; leave unassigned,f6626f56-3659-4294-beeb-bd14147be11a
C:\Users\razer\Documents\transfiguration\grok-364f88e2-3421-48c5-b6c2-adf58ebd9144.jpg,grok-364f88e2-3421-48c5-b6c2-adf58ebd9144.jpg,.jpg,348357,810c68b1d382936a7a5372ee16da7af81b6a6db321af174283bb45a1924371ac,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.125645+00:00,clean single-shot starting-image candidate,S04C,1,0.88,"Intimate Jesus close-up retains eyes, skin, hair and beard beneath bright warm radiance.",import as draft starting_image,select for S04C,49ee7ef6-ced4-4af6-a503-07a137542c82
C:\Users\razer\Documents\transfiguration\grok-476a8e00-527b-4ca7-8516-0b850fbeee7f.jpg,grok-476a8e00-527b-4ca7-8516-0b850fbeee7f.jpg,.jpg,359560,1c6b1541454e2e99be3240f5dc9d09c129061e57328c17d12aa4263a6c9f573e,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.978066+00:00,alternate candidate for a shot,S05B,2,0.83,Moses portrait alternate.,import as draft starting_image,alternate for S05B; leave unassigned,5412d513-3f03-4f4a-88d9-d5708f515c8e
C:\Users\razer\Documents\transfiguration\grok-576f2d58-b2cc-4c0b-8f37-7219fe5951fb.jpg,grok-576f2d58-b2cc-4c0b-8f37-7219fe5951fb.jpg,.jpg,483271,c35b6c17dd43a7180da4fd54647ba2114e984bc0afa4e63eb0e17d49cf42f758,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.190002+00:00,alternate candidate for a shot,S05B,2,0.86,Full-body Moses alternate with grounded mountain context.,import as draft starting_image,alternate for S05B; leave unassigned,09586c62-790e-442d-8afc-9297dea979e2
C:\Users\razer\Documents\transfiguration\grok-643ed305-d93e-4ed4-a91c-e72c4480e9b0.jpg,grok-643ed305-d93e-4ed4-a91c-e72c4480e9b0.jpg,.jpg,386181,e7cbf250bb531dd2bd632a8effa8e1b238b0e8188f626aad0ae3788e59a267f2,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.847858+00:00,clean single-shot starting-image candidate,S02C,1,0.93,Cool blue three-quarter close-up shows Jesus in inward silent prayer.,import as draft starting_image,select for S02C,26578c6a-efa9-4c35-aec2-af5356359985
C:\Users\razer\Documents\transfiguration\grok-710b46d4-4ff2-41fb-bcf1-cc44fb916b1f.jpg,grok-710b46d4-4ff2-41fb-bcf1-cc44fb916b1f.jpg,.jpg,397919,c4000163df86d03a3c1813f275f1d7de5f32e0bead3f17739602a2733dcfa05a,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.173889+00:00,alternate candidate for a shot,S01D,2,0.88,"Peter upward-eyeline alternate, seated rather than paused on the climb.",import as draft starting_image,alternate for S01D; leave unassigned,9a8974b8-2a02-46a6-85c2-6f257ce36aeb
C:\Users\razer\Documents\transfiguration\grok-731c8d0d-10e6-4000-aac7-a37d147d0b56.jpg,grok-731c8d0d-10e6-4000-aac7-a37d147d0b56.jpg,.jpg,291569,12481bad52fbd6b99602be624d84454cb6016ea72f0864f264464d5564d6b3e6,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.117977+00:00,character reference,,,0.98,Neutral full-body Elijah identity plate lacks a matching shot composition.,skip; do not create another character-reference row,excluded from shot-start assignment,
